id_pelicula,popularity,vote_average,vote_count,release_year,budget,revenue,genre_id,collection_id,director_id
862,21.946943,7.7,5415.0,1995,30000000.0,373554033.0,16.0,10194.0,7879.0
862,21.946943,7.7,5415.0,1995,30000000.0,373554033.0,35.0,10194.0,7879.0
862,21.946943,7.7,5415.0,1995,30000000.0,373554033.0,10751.0,10194.0,7879.0
8844,17.015539,6.9,2413.0,1995,65000000.0,262797249.0,12.0,0.0,4945.0
8844,17.015539,6.9,2413.0,1995,65000000.0,262797249.0,14.0,0.0,4945.0
8844,17.015539,6.9,2413.0,1995,65000000.0,262797249.0,10751.0,0.0,4945.0
15602,11.7129,6.5,92.0,1995,0.0,0.0,10749.0,119050.0,26502.0
15602,11.7129,6.5,92.0,1995,0.0,0.0,35.0,119050.0,26502.0
31357,3.859495,6.1,34.0,1995,16000000.0,81452156.0,35.0,0.0,2178.0
31357,3.859495,6.1,34.0,1995,16000000.0,81452156.0,18.0,0.0,2178.0
31357,3.859495,6.1,34.0,1995,16000000.0,81452156.0,10749.0,0.0,2178.0
11862,8.387519,5.7,173.0,1995,0.0,76578911.0,35.0,96871.0,56106.0
949,17.924927,7.7,1886.0,1995,60000000.0,187436818.0,28.0,0.0,638.0
949,17.924927,7.7,1886.0,1995,60000000.0,187436818.0,80.0,0.0,638.0
949,17.924927,7.7,1886.0,1995,60000000.0,187436818.0,18.0,0.0,638.0
949,17.924927,7.7,1886.0,1995,60000000.0,187436818.0,53.0,0.0,638.0
11860,6.677277,6.2,141.0,1995,58000000.0,0.0,35.0,0.0,2226.0
11860,6.677277,6.2,141.0,1995,58000000.0,0.0,10749.0,0.0,2226.0
45325,2.561161,5.4,45.0,1995,0.0,0.0,28.0,0.0,18357.0
45325,2.561161,5.4,45.0,1995,0.0,0.0,12.0,0.0,18357.0
45325,2.561161,5.4,45.0,1995,0.0,0.0,18.0,0.0,18357.0
45325,2.561161,5.4,45.0,1995,0.0,0.0,10751.0,0.0,18357.0
9091,5.23158,5.5,174.0,1995,35000000.0,64350171.0,28.0,0.0,37710.0
9091,5.23158,5.5,174.0,1995,35000000.0,64350171.0,12.0,0.0,37710.0
9091,5.23158,5.5,174.0,1995,35000000.0,64350171.0,53.0,0.0,37710.0
710,14.686036,6.6,1194.0,1995,58000000.0,352194034.0,12.0,645.0,10702.0
710,14.686036,6.6,1194.0,1995,58000000.0,352194034.0,28.0,645.0,10702.0
710,14.686036,6.6,1194.0,1995,58000000.0,352194034.0,53.0,645.0,10702.0
9087,6.318445,6.5,199.0,1995,62000000.0,107879496.0,35.0,0.0,3026.0
9087,6.318445,6.5,199.0,1995,62000000.0,107879496.0,18.0,0.0,3026.0
9087,6.318445,6.5,199.0,1995,62000000.0,107879496.0,10749.0,0.0,3026.0
12110,5.430331,5.7,210.0,1995,0.0,0.0,35.0,0.0,14639.0
12110,5.430331,5.7,210.0,1995,0.0,0.0,27.0,0.0,14639.0
21032,12.140733,7.1,423.0,1995,0.0,11348324.0,10751.0,117693.0,21879.0
21032,12.140733,7.1,423.0,1995,0.0,11348324.0,16.0,117693.0,21879.0
21032,12.140733,7.1,423.0,1995,0.0,11348324.0,12.0,117693.0,21879.0
10858,5.092,7.1,72.0,1995,44000000.0,13681765.0,36.0,0.0,1152.0
10858,5.092,7.1,72.0,1995,44000000.0,13681765.0,18.0,0.0,1152.0
1408,7.284477,5.7,137.0,1995,98000000.0,10017322.0,28.0,0.0,16938.0
1408,7.284477,5.7,137.0,1995,98000000.0,10017322.0,12.0,0.0,16938.0
524,10.137389,7.8,1343.0,1995,52000000.0,116112375.0,18.0,0.0,1032.0
524,10.137389,7.8,1343.0,1995,52000000.0,116112375.0,80.0,0.0,1032.0
4584,10.673167,7.2,364.0,1995,16500000.0,135000000.0,18.0,0.0,1614.0
4584,10.673167,7.2,364.0,1995,16500000.0,135000000.0,10749.0,0.0,1614.0
5,9.026586,6.5,539.0,1995,4000000.0,4300000.0,80.0,0.0,3110.0
5,9.026586,6.5,539.0,1995,4000000.0,4300000.0,80.0,0.0,3111.0
5,9.026586,6.5,539.0,1995,4000000.0,4300000.0,80.0,0.0,2294.0
5,9.026586,6.5,539.0,1995,4000000.0,4300000.0,80.0,0.0,138.0
5,9.026586,6.5,539.0,1995,4000000.0,4300000.0,35.0,0.0,3110.0
5,9.026586,6.5,539.0,1995,4000000.0,4300000.0,35.0,0.0,3111.0
5,9.026586,6.5,539.0,1995,4000000.0,4300000.0,35.0,0.0,2294.0
5,9.026586,6.5,539.0,1995,4000000.0,4300000.0,35.0,0.0,138.0
9273,8.205448,6.1,1128.0,1995,30000000.0,212385533.0,80.0,3167.0,4489.0
9273,8.205448,6.1,1128.0,1995,30000000.0,212385533.0,35.0,3167.0,4489.0
9273,8.205448,6.1,1128.0,1995,30000000.0,212385533.0,12.0,3167.0,4489.0
11517,7.337906,5.4,224.0,1995,60000000.0,35431113.0,28.0,0.0,52629.0
11517,7.337906,5.4,224.0,1995,60000000.0,35431113.0,35.0,0.0,52629.0
11517,7.337906,5.4,224.0,1995,60000000.0,35431113.0,80.0,0.0,52629.0
8012,12.669608,6.4,305.0,1995,30250000.0,115101622.0,35.0,91698.0,5174.0
8012,12.669608,6.4,305.0,1995,30250000.0,115101622.0,53.0,91698.0,5174.0
8012,12.669608,6.4,305.0,1995,30250000.0,115101622.0,80.0,91698.0,5174.0
1710,10.701801,6.5,199.0,1995,0.0,0.0,18.0,0.0,15148.0
1710,10.701801,6.5,199.0,1995,0.0,0.0,53.0,0.0,15148.0
9691,11.065939,6.0,394.0,1995,50000000.0,30303072.0,28.0,0.0,7187.0
9691,11.065939,6.0,394.0,1995,50000000.0,30303072.0,12.0,0.0,7187.0
9691,11.065939,6.0,394.0,1995,50000000.0,30303072.0,80.0,0.0,7187.0
9691,11.065939,6.0,394.0,1995,50000000.0,30303072.0,53.0,0.0,7187.0
12665,12.133094,6.3,143.0,1995,0.0,0.0,18.0,0.0,56349.0
12665,12.133094,6.3,143.0,1995,0.0,0.0,14.0,0.0,56349.0
12665,12.133094,6.3,143.0,1995,0.0,0.0,878.0,0.0,56349.0
12665,12.133094,6.3,143.0,1995,0.0,0.0,53.0,0.0,56349.0
451,10.332025,7.1,365.0,1995,3600000.0,49800000.0,18.0,0.0,6111.0
451,10.332025,7.1,365.0,1995,3600000.0,49800000.0,10749.0,0.0,6111.0
16420,1.845899,7.0,33.0,1995,0.0,0.0,18.0,0.0,56710.0
9263,8.681325,6.6,91.0,1995,12000000.0,27400000.0,35.0,0.0,15798.0
9263,8.681325,6.6,91.0,1995,12000000.0,27400000.0,18.0,0.0,15798.0
9263,8.681325,6.6,91.0,1995,12000000.0,27400000.0,10751.0,0.0,15798.0
17015,2.228434,7.4,36.0,1995,0.0,0.0,18.0,0.0,7017.0
17015,2.228434,7.4,36.0,1995,0.0,0.0,10749.0,0.0,7017.0
902,9.822423,7.6,308.0,1995,18000000.0,1738611.0,14.0,0.0,2419.0
902,9.822423,7.6,308.0,1995,18000000.0,1738611.0,14.0,0.0,13680.0
902,9.822423,7.6,308.0,1995,18000000.0,1738611.0,878.0,0.0,2419.0
902,9.822423,7.6,308.0,1995,18000000.0,1738611.0,878.0,0.0,13680.0
902,9.822423,7.6,308.0,1995,18000000.0,1738611.0,12.0,0.0,2419.0
902,9.822423,7.6,308.0,1995,18000000.0,1738611.0,12.0,0.0,13680.0
9909,9.481338,6.4,249.0,1995,0.0,180000000.0,18.0,0.0,60295.0
9909,9.481338,6.4,249.0,1995,0.0,180000000.0,80.0,0.0,60295.0
63,12.297305,7.4,2470.0,1995,29500000.0,168840000.0,878.0,0.0,280.0
63,12.297305,7.4,2470.0,1995,29500000.0,168840000.0,53.0,0.0,280.0
63,12.297305,7.4,2470.0,1995,29500000.0,168840000.0,9648.0,0.0,280.0
9598,14.404764,6.0,756.0,1995,30000000.0,254134910.0,14.0,9435.0,58137.0
9598,14.404764,6.0,756.0,1995,30000000.0,254134910.0,18.0,9435.0,58137.0
